coc,hip,coc_hip
0,0,0.0289077634
1,0,2.5070481299
10,0,3.7222768589
20,0,4.2350469379
100,0,4.2580241395
500,0,4.3715392639
1000,0,4.2025331545
0,1,0.1430785278
1,1,2.4561466249
10,1,3.7173595589
20,1,4.0313217106
100,1,4.108836239
500,1,4.2692892266
1000,1,4.1373565788
0,10,2.70081955
1,10,3.2821934138
10,10,4.3268067352
20,10,4.0670540903
100,10,4.4816569811
500,10,4.3510356132
1000,10,4.4131127999
0,20,3.5563701386
1,20,3.8452093578
10,20,3.6273580688
20,20,4.0115333035
100,20,4.2223215616
500,20,4.1308597824
1000,20,4.0240500671
0,100,4.3083892117
1,100,4.3876620474
10,100,4.3873044256
20,100,4.2784979884
100,100,4.553360155
500,100,4.1337803606
1000,100,4.2671136939
0,500,4.3726121293
1,500,4.4606765013
10,500,4.3150350171
20,500,4.8202652362
100,500,4.4796006556
500,500,4.0615109522
1000,500,4.2477127105
0,1000,4.4690806139
1,1000,4.3087468336
10,1000,4.454656534
20,1000,4.4815675756
100,1000,4.3388764715
500,1000,4.4681269557
1000,1000,4.1226046789
