coc,hip,coc_hip
0,0,0.0122984776
1,0,0.2915995617
10,0,0.27774708
20,0,0.2971340319
100,0,0.4325507922
500,0,0.3833385411
1000,0,0.2912402291
0,1,0.0222196087
1,1,0.2162335359
10,1,0.3173945781
20,1,0.2510514109
100,1,0.0444079988
500,1,0.3893826758
1000,1,0.655550468
0,10,0.4215445843
1,10,0.3702866545
10,10,0.1547681831
20,10,0.2390366622
100,10,0.5257288921
500,10,0.0858276679
1000,10,0.4567221082
0,20,0.0887881685
1,20,0.2468622411
10,20,0.6547550339
20,20,0.3326169829
100,20,0.2606987657
500,20,0.4948621531
1000,20,0.7902060098
0,100,0.339626564
1,100,0.1812973526
10,100,0.1179161001
20,100,0.5073645122
100,100,0.1822684349
500,100,0.3210618476
1000,100,0.1970368078
0,500,0.3007450141
1,500,0.5631403716
10,500,0.3530943219
20,500,0.3433643697
100,500,0.2305134475
500,500,0.4328814402
1000,500,0.5831134751
0,1000,0.4176584296
1,1000,0.4911537025
10,1000,0.6566782212
20,1000,0.4973821245
100,1000,0.2310141485
500,1000,0.3302207469
1000,1000,0.4228111645
