hipo;coce;coce_hipo
0;0;0.0155754391
0;0.1;0.7363063959
0;0.3;2.7127538702
0;1;3.927354069
0;3;4.3966055958
0;10;4.4154476163
0.1;0;2.0035743029
0.1;0.1;2.5951095962
0.1;0.3;3.3044548596
0.1;1;4.1505467973
0.1;3;4.3718695261
0.1;10;4.4433082422
0.3;0;3.4084647067
0.3;0.1;3.8070349856
0.3;0.3;3.8872555982
0.3;1;4.2076883019
0.3;3;4.5494011267
0.3;10;4.8870662311
1;0;4.2720730957
1;0.1;4.5190313876
1;0.3;4.2143871609
1;1;4.5419921413
1;3;4.5754390948
1;10;4.7837901813
3;0;4.5031245562
3;0.1;5.0766936515
3;0.3;4.7340103205
3;1;4.7674572741
3;3;5.0405008758
3;10;5.021919235
10;0;4.8653363632
10;0.1;4.9201817924
10;0.3;4.9187378687
10;1;4.8053070113
10;3;4.8068456185
10;10;4.9964020262
