hip,benzal,hip_benzal_adder
0,0,34.8585452130544
0,1,28.9398858409815
0,10,59.2059239279029
0,20,92.4152959274317
0,100,185.3317727186
0,500,213.802964828941
0,1000,213.819264702862
1,0,19.7451757958763
1,1,29.3724228470617
1,10,56.4818755625523
1,20,84.5118117103092
1,100,79.8772196859958
1,500,122.585608158799
1,1000,236.542325983693
10,0,50.3807636051735
10,1,49.3389660450708
10,10,76.1301014031963
10,20,96.267441721291
10,100,173.425369167197
10,500,224.085382664318
10,1000,295.32838134705
20,0,115.394252675064
20,1,84.0241973227516
20,10,163.591733069402
20,20,134.08903102004
20,100,134.579694360341
20,500,44.1047636525443
20,1000,377.375520898251
100,0,288.777599906193
100,1,285.013595380572
100,10,278.203471200554
100,20,308.142154502741
100,100,123.660835494905
100,500,287.908729976188
100,1000,349.893713385239
500,0,369.971149969186
500,1,190.456372800961
500,10,145.788411744606
500,20,119.455873228292
500,100,163.604185832139
500,500,208.206389127873
500,1000,369.709033158013
1000,0,220.344677632421
1000,1,131.797356595587
1000,10,134.697687394752
1000,20,166.084618930575
1000,100,233.739899713703
1000,500,274.925068047556
1000,1000,287.91710909639
